x_screen,y_screen,blink_detected
1768,937,False
1775,937,False
1779,946,False
1780,949,False
1784,952,False
1780,960,False
1780,965,False
1785,967,False
1787,973,False
1786,975,False
1783,980,False
1781,984,False
1776,987,False
1776,989,False
1775,986,False
1775,987,False
1768,990,False
1760,983,False
1758,982,False
1758,979,False
1760,972,False
1760,978,False
1723,1021,True
1691,1072,True
1649,1100,True
1603,1100,True
1610,1100,False
1609,1100,False
1607,1100,False
1606,1100,False
1609,1100,False
1639,1100,False
1676,1096,False
1722,1046,False
1771,989,False
1768,977,False
1772,966,False
1778,956,False
1776,956,False
1779,950,False
1786,948,False
1784,948,False
1784,944,False
1789,943,False
1795,946,False
1787,945,False
1750,933,False
1713,919,False
1672,908,False
1632,892,False
1592,879,False
1558,864,False
1555,848,False
1563,832,False
1576,821,False
1618,816,False
1665,814,False
1714,809,False
1753,810,False
1778,792,False
1789,766,False
1765,733,False
1745,708,False
1746,691,False
1749,682,False
1755,673,False
1757,666,False
1771,657,False
1797,666,False
1800,686,False
1800,710,False
1800,731,False
1800,732,False
1800,732,False
1800,712,False
1800,677,False
1800,639,False
1800,600,False
1800,564,False
1800,524,False
1800,499,False
1800,502,False
1800,505,False
1800,517,False
1800,549,False
1800,577,False
1800,577,False
1800,574,False
1800,573,False
1800,553,False
1800,519,False
1800,482,False
1800,458,False
1787,434,False
1725,418,False
1663,429,False
1595,441,False
1527,452,False
1459,465,False
1388,488,False
1311,511,False
1238,525,False
1217,541,False
1195,559,False
1168,571,False
1149,589,False
1131,603,False
1111,615,False
1094,611,False
1085,609,False
1079,599,False
1053,576,False
1034,551,False
1014,526,False
997,492,False
976,462,False
959,433,False
944,410,False
931,381,False
922,363,False
914,338,False
909,311,False
907,287,False
904,268,False
906,251,False
910,233,False
912,216,False
916,209,False
921,200,False
930,211,False
941,220,False
954,232,False
962,242,False
970,252,False
981,263,False
992,270,False
1002,272,False
1008,273,False
1014,271,False
1016,287,False
1015,302,False
1011,317,False
1003,326,False
990,337,False
974,343,False
950,352,False
928,362,False
906,367,False
876,353,False
842,342,False
803,319,False
767,302,False
730,284,False
703,267,False
682,248,False
673,229,False
671,215,False
689,203,False
726,194,False
782,205,False
844,215,False
914,228,False
973,240,False
1027,253,False
1065,267,False
1091,282,False
1105,299,False
1098,312,False
1084,317,False
1064,321,False
1049,333,False
1070,358,False
1108,383,False
1150,410,False
1191,428,False
1223,443,False
1254,457,False
1268,477,False
1268,498,False
1258,518,False
1209,530,False
1147,540,False
1074,550,False
996,565,False
925,580,False
856,592,False
798,595,False
750,597,False
707,591,False
674,585,False
639,582,False
620,574,False
612,565,False
610,561,False
617,564,False
624,571,False
634,573,False
648,581,False
657,582,False
675,584,False
696,591,False
705,610,False
691,649,False
676,682,False
659,732,False
641,798,False
610,850,False
583,907,False
542,956,False
489,1007,False
462,1052,False
448,1067,False
439,1085,False
478,1045,False
510,995,False
561,959,False
603,913,False
660,867,False
725,806,False
777,738,False
832,673,False
881,605,False
893,572,False
903,540,False
909,500,False
921,468,False
922,443,False
924,428,False
920,421,False
923,415,False
917,411,False
911,412,False
906,416,False
896,421,False
880,428,False
866,429,False
847,427,False
833,421,False
